ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Grouped_Segments,Grouped_Plural_Segments,Plural_Segments,Plural_Form,Dialect
BankanTey-3599_domesticanimalesplivestock-1,,BankanTey,3599_domesticanimalesplivestock,"jáwdìm\\jáwdì, dá:bàm\\dá:bà",jáwdì-m,dʒ á w d ì + m,,heathdogon,,,,,dʒ á w d ì + m,dʒ á w d ì,dʒ á w d ì,jáwdì,
BenTey-3599_domesticanimalesplivestock-1,,BenTey,3599_domesticanimalesplivestock,àrsɛ̌:m\\àrsɛ̌:,àrsɛ̌:-m,à r s ɛ̌ː + m,,heathdogon,,,,,à r s ɛ̌ː + m,à r s ɛ̌ː,à r s ɛ̌ː,àrsɛ̌:,
Bunoge-3599_domesticanimalesplivestock-1,,Bunoge,3599_domesticanimalesplivestock,kɔ́mbɔ̀,kɔ́mbɔ̀,k ɔ́ ⁿb ɔ̀,,heathdogon,,,,,k ɔ́ ⁿb ɔ̀,k ɔ ⁿb ɔ ɡ è,k ɔ ⁿb ɔ ɡ è,kɔmbɔ=gè,
DogulDomBendiely-3599_domesticanimalesplivestock-1,,DogulDomBendiely,3599_domesticanimalesplivestock,"bɛ́lɛ̀g, bɛ́lɛ̀gù",bɛ́lɛ̀-g,b ɛ́ l ɛ̀ + ɡ,,heathdogon,,,,,b ɛ́ l ɛ̀ + ɡ,b ɛ l ɛ + ɡ + j à,b ɛ l ɛ + ɡ + j à,bɛlɛ-g-yà,
DonnoSo-3599_domesticanimalesplivestock-1,,DonnoSo,3599_domesticanimalesplivestock,bɛ̀lú,bɛ̀lú,b ɛ̀ l ú,,heathdogon,,,,,b ɛ̀ l ú,b ɛ̀ l ú ⁿb è,b ɛ̀ l ú ⁿb è,bɛ̀lú=mbè,
Gourou-3599_domesticanimalesplivestock-1,,Gourou,3599_domesticanimalesplivestock,gàrsɛ̀gɛ́,gàr_sɛ̀gɛ́,ɡ à r + s ɛ̀ ɡ ɛ́,,heathdogon,,,,,ɡ à r + s ɛ̀ ɡ ɛ́,ɡ à r + s ɛ̀ ɡ ɛ́,ɡ à r + s ɛ̀ ɡ ɛ́,gàr_sɛ̀gɛ́,
JamsayDouentza-3599_domesticanimalesplivestock-1,,JamsayDouentza,3599_domesticanimalesplivestock,"àsɛ̀gɛ́, gàsɛ̀gɛ́",gà_sɛ̀gɛ́,ɡ à + s ɛ̀ ɡ ɛ́,,heathdogon,,,,,ɡ à + s ɛ̀ ɡ ɛ́,ɡ à + s ɛ̀ ɡ ɛ́ b é,ɡ à + s ɛ̀ ɡ ɛ́ b é,gà_sɛ̀gɛ́=bé,
JamsayMondoro-3599_domesticanimalesplivestock-1,,JamsayMondoro,3599_domesticanimalesplivestock,àsɛ̀gɛ́,à_sɛ̀gɛ,à + s ɛ̀ ɡ ɛ,,heathdogon,,,,,à + s ɛ̀ ɡ ɛ,à + s ɛ̀ ɡ ɛ́,à + s ɛ̀ ɡ ɛ́,à_sɛ̀gɛ́,
Mombo-3599_domesticanimalesplivestock-1,,Mombo,3599_domesticanimalesplivestock,"dèbù bɛ́lí, bɛ́lí",dèbù_bɛ́lí,d è b ù + b ɛ́ l í,,heathdogon,,,,,d è b ù + b ɛ́ l í,,,,
Najamba-3599_domesticanimalesplivestock-1,,Najamba,3599_domesticanimalesplivestock,dúmɛ́ŋgó\\dúmɛ́:,dúmɛ́-ŋgó,d ú m ɛ́ + ŋ ɡ ó,,heathdogon,,,,,d ú m ɛ́ + ŋ ɡ ó,d ú m ɛ́ː,d ú m ɛ́ː,dúmɛ́:,
Nanga-3599_domesticanimalesplivestock-1,,Nanga,3599_domesticanimalesplivestock,gàsɛ̀gɛ́,gà_sɛ̀gɛ́,ɡ à + s ɛ̀ ɡ ɛ́,,heathdogon,,,,,ɡ à + s ɛ̀ ɡ ɛ́,ɡ à + s ɛ̀ ɡ ɛ́,ɡ à + s ɛ̀ ɡ ɛ́,gà_sɛ̀gɛ́,
Penange-3599_domesticanimalesplivestock-1,,Penange,3599_domesticanimalesplivestock,dá:bá,dá:bá,d áː b á,,heathdogon,,,,,d áː b á,d aː b a ɡ é,d aː b a ɡ é,da:ba=gé,
PergeTegu-3599_domesticanimalesplivestock-1,,PergeTegu,3599_domesticanimalesplivestock,àsɛ̀gɛ́,à_sɛ̀gɛ́,à + s ɛ̀ ɡ ɛ́,,heathdogon,,,,,à + s ɛ̀ ɡ ɛ́,,,,
TebulUre-3599_domesticanimalesplivestock-1,,TebulUre,3599_domesticanimalesplivestock,"àsɛ̀gɛ́\\àsɛ̀gɛ̀mbɔ́, gàsɛ̀gɛ́\\gàsɛ̀gɛ̀mbɔ́",gà_sɛ̀gɛ́,ɡ à + s ɛ̀ ɡ ɛ́,,heathdogon,,,,,ɡ à + s ɛ̀ ɡ ɛ́,ɡ à + s ɛ̀ ɡ ɛ̀ + ⁿb ɔ́,ɡ à + s ɛ̀ ɡ ɛ̀ + ⁿb ɔ́,gà_sɛ̀gɛ̀-mbɔ́,
Tiranige-3599_domesticanimalesplivestock-1,,Tiranige,3599_domesticanimalesplivestock,"bèl (Boui), bɛ̀lì (Ningo)",bɛ̀lì,b ɛ̀ l ì,,heathdogon,,,,,b ɛ̀ l ì,b ɛ l i ɡ e,b ɛ l i ɡ e,bɛli=ge,
