ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	AUTOCOGID
16101	Ampari	(1Pl subject pronominal)	ǹ (perfective)	ǹ_	ǹ/n		1
16102	BenTey	(1Pl subject pronominal)	ỳ∴	ỳ∴	j̀/y		2
16103	Bunoge	(1Pl subject pronominal)	ŋ́	ŋ́	ŋ́/ŋ		1
16104	DogulDomA	(1Pl subject pronominal)	ó	ó	ó/o		2
16105	DonnoSo	(1Pl subject pronominal)	ŋ, ʸŋ	ŋ	ŋ		1
16106	JamsayDouentza	(1Pl subject pronominal)	y	y	j		6
16107	Mombo	(1Pl subject pronominal)	Ǹ	Ǹ	Ǹ/n		1
16108	Najamba	(1Pl subject pronominal)	y	y	j		6
16109	Nanga	(1Pl subject pronominal)	ỳ∴	ỳ∴	j̀/y		2
16110	Penange	(1Pl subject pronominal)	ŋ̀ (perfective)	ŋ̀_	ŋ̀/ŋ		1
16111	PergeTegu	(1Pl subject pronominal)	y	y	j		6
16112	TebulUre	(1Pl subject pronominal)	yⁿ	yⁿ	yⁿ/ỹ		2
16113	Tiranige	(1Pl subject pronominal)	ní ~ nì V	ní	n í/i		1
16114	TogoKan	(1Pl subject pronominal)	ɛ́mɛ́ (optional, clauseinitial)	ɛ́mɛ́_	ɛ́/ɛ m ɛ́/ɛ		14
16115	TommoSoTongoTongo	(1Pl subject pronominal)	ú	ú	ú/u		2
16116	TomoKanDiangassagou	(1Pl subject pronominal)	à	à	à/a		2
16117	ToroTegu	(1Pl subject pronominal)	í (clauseinitial)	í_	í/i		2
16118	YandaDom	(1Pl subject pronominal)	y	y	j		6
16076	Ampari	(1Sg independent pronoun)	mi	mi	m i		15
16077	BenTey	(1Sg independent pronoun)	í	í	í/i		16
16078	Bunoge	(1Sg independent pronoun)	mì	mì	m ì/i		15
16079	DogulDomA	(1Sg independent pronoun)	mí	mí	m í/i		15
16080	DogulDomB	(1Sg independent pronoun)	mí	mí	m í/i		15
16081	DonnoSo	(1Sg independent pronoun)	mí	mí	m í/i		15
16082	JamsayDouentza	(1Sg independent pronoun)	mí	mí	m í/i		15
16083	Najamba	(1Sg independent pronoun)	mí	mí	m í/i		15
16084	Nanga	(1Sg independent pronoun)	ǐ:ⁿ	ǐ:ⁿ	ǐ:ⁿ/ĩː		16
16085	Penange	(1Sg independent pronoun)	mí	mí	m í/i		15
16086	PergeTegu	(1Sg independent pronoun)	mí	mí	m í/i		15
16087	TebulUre	(1Sg independent pronoun)	mí	mí	m í/i		15
16088	Tiranige	(1Sg independent pronoun)	míwⁿ, mì	míwⁿ	m í/i w̃		15
16089	TogoKan	(1Sg independent pronoun)	íⁿ	íⁿ	íⁿ/ĩ		16
16090	TommoSoTongoTongo	(1Sg independent pronoun)	mí	mí	m í/i		15
16091	TomoKanSegue	(1Sg independent pronoun)	mí	mí	m í/i		15
16092	ToroTegu	(1Sg independent pronoun)	mí ~ m̀ᵇí	mí	m í/i		15
16093	YandaDom	(1Sg independent pronoun)	mí	mí	m í/i		15
16094	YornoSo	(1Sg independent pronoun)	mú	mú	m ú/u		15
16095	JamsayDouentza	(3Pl human pronoun)	bé	bé	b é/e		17
16096	PergeTegu	(3Pl human pronoun)	bé	bé	b é/e		17
16097	TogoKan	(3Pl human pronoun)	bé	bé	b é/e		17
16098	TomoKanSegue	(3Pl human pronoun)	bó	bó	b ó/o		17
16099	ToroTegu	(3Pl human pronoun)	bé	bé	b é/e		17
16100	YornoSo	(3Pl human pronoun)	bé	bé	b é/e		17
16119	DogulDomA	(3Sg all-purpose subject pronominal)	ná	ná	n á/a		18
16120	TommoSoTongoTongo	(3Sg all-purpose subject pronominal)	wó	wó	w ó/o		19
8936	BenTey	(Muslim) pray (verb only)	sálá	sálá	s á/a l á/a		21
8937	DogulDomA	(Muslim) pray (verb only)	sɛ̀nɛ́	sɛ̀nɛ́	s ɛ̀/ɛ n ɛ́/ɛ		21
8938	DogulDomB	(Muslim) pray (verb only)	sɛ́nɛ̀	sɛ́nɛ̀	s ɛ́/ɛ n ɛ̀/ɛ		21
8939	DonnoSo	(Muslim) pray (verb only)	sɛ́nɛ̀\\sɛ́nɛ̀	sɛ́nɛ̀	s ɛ́/ɛ n ɛ̀/ɛ		21
8940	Gourou	(Muslim) pray (verb only)	sálá	sálá	s á/a l á/a		21
8941	JamsayAlphabet	(Muslim) pray (verb only)	sala	sala	s a l a		21
8942	JamsayDouentza	(Muslim) pray (verb only)	sálá	sálá	s á/a l á/a		21
8943	Mombo	(Muslim) pray (verb only)	sándé	sándé	s á/a ⁿd é/e		21
8944	Najamba	(Muslim) pray (verb only)	sán	sán	s á/a n		21
8945	Nanga	(Muslim) pray (verb only)	sándí	sándí	s á/a ⁿd í/i		21
8946	PergeTegu	(Muslim) pray (verb only)	sálá	sálá	s á/a l á/a		21
8947	TebulUre	(Muslim) pray (verb only)	sárⁿá (sárⁿátì)	sárⁿá_	s á/a r̃ á/a		21
8948	TogoKan	(Muslim) pray (verb only)	sárⁿá	sárⁿá	s á/a r̃ á/a		21
8949	TommoSoTongoTongo	(Muslim) pray (verb only)	sɛ́nɛ́	sɛ́nɛ́	s ɛ́/ɛ n ɛ́/ɛ		21
8950	YandaDom	(Muslim) pray (verb only)	sán	sán	s á/a n		21
8951	YornoSo	(Muslim) pray (verb only)	sɛ́rⁿɛ́\\sɛ́rⁿɛ́	sɛ́rⁿɛ́	s ɛ́/ɛ r̃ ɛ́/ɛ		21
8915	BankanTey	(Muslim) pray, say or perform one's prayer	jíŋgárú káŋ	jíŋgárú_káŋ	dʒ í/i ŋ ɡ á/a r ú/u + k á/a ŋ		22
