NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	POS
9589	younger sister (of a woman)	1761	YOUNGER SISTER	noun
9573	young (adolescent) woman, not yet a mother	77	YOUNG WOMAN	noun
9572	young (adolescent) man, not yet bearded	76	YOUNG MAN	noun
2612	bull (uncastrated, young, not yet a stud)	1207	YOUNG	adjective
9571	young	1207	YOUNG	adjective
3683	egg yolk (yellow)	1556	YOLK	noun
785	(not) yet	2577	YET	other
9567	yesterday	1174	YESTERDAY	other
9564	yes (audience's formal-style response while listening to a tale or after receiving serious advice)	1268	YES	other
9565	yes (griot's amen-like response repeated after each utterance spoken by a noble)	1268	YES	other
9566	yes!	1268	YES	other
3611	dyes for decorating livestock animals on their return to the village (green, yellow, and red)	1424	YELLOW	adjective
9560	yellow	1424	YELLOW	adjective
1355	(wet earth) ferment, be rotting (due to decaying organic matter)	967	YEAST	noun
89	(a specific) year	1226	YEAR	noun
6371	one year	1226	YEAR	noun
9555	year	1226	YEAR	noun
9556	year (from Jan to Dec)	1226	YEAR	noun
9557	year (unit of time)	1226	YEAR	noun
9552	yawn (noun)	1028	YAWN	verb
9553	yawn (verb only)	1028	YAWN	verb
9554	yawn, make a yawn	1028	YAWN	verb
9549	yam (Dioscorea)	410	YAM	noun
3788	err, be in error, be wrong (verb only)	1390	WRONG	adjective
9547	write (sth)	1672	WRITE	verb
9546	wrist	799	WRIST	noun
9543	wrinkled (adjective)	380	WRINKLED	adjective
9544	wrinkled (skin of dates, tomatoes, etc.) (adjective)	380	WRINKLED	adjective
9545	wrinkled (skin of dates, tomatoes, etc.) (adverb)	380	WRINKLED	adjective
9529	wrap (in indigo cotton cloth)	1113	WRAP	verb
9530	wrap (traditional, in indigo-dyed cotton cloth) (Bambara man and woman)	1113	WRAP	verb
9531	wrap (woman's garment)	1113	WRAP	verb
6995	re-open (old cut or wound)	1109	WOUND	noun
9527	wound, injure (sb)	1109	WOUND	noun
9528	wound, injury	1109	WOUND	noun
9524	worship (God)	257	WORSHIP	verb
9525	worship (of God)	257	WORSHIP	verb
9523	worry (verb only)	150	WORRY	verb
9517	world (of the living)	965	WORLD	noun
8075	speed, agility (of an athlete or worker)	2977	WORKER	noun
2063	be absorbed in (task, work)	984	WORK (LABOUR)	noun
9509	work (noun), productive activity	984	WORK (LABOUR)	noun
9510	work (verb only)	1086	WORK (ACTIVITY)	verb
2756	cause (sb) to hear (sound, words), inform (sb, of sth)	1599	WORD	noun
9508	word, name (of sth)	1599	WORD	noun
9503	wool (substance)	964	WOOL	noun
1326	(water current) sweep along (animal, log)	1803	WOOD	noun
5265	large awl (for metal or wood)	1803	WOOD	noun
