ID	NUMBER	ENGLISH	FRENCH	ENGLISH_SHORT	FRENCH_SHORT	ENGLISH_CATEGORY	FRENCH_CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS	POS
concepts-3690	3690	dust	poussière	dust	poussière	soil/stone/dust	sol/pierre/poussière	2	DUST	noun
concepts-3839	3839	energetic, vigorous, courageous (person)	(personne) courageux, vigoureux	energetic, vigorous, courageous	courageux, vigoureux	emotion/temperament/courage	émotion/nature/courage	3	BRAVE	adjective
concepts-3209	3209	courtyard (enclosed by walls)	cour (entourée de murs)	courtyard	cour	house/outside	maison/extérieur	4	COURTYARD	noun
concepts-4348	4348	gather (things)	ramasser (choses)	gather	ramasser	take/get/gather	prendre/obtenir/ramasser	7	GATHER	verb
concepts-3323	3323	curse (sb) (verb only)	maudire (qn) (verbe seulement)	curse	maudire	talk/invocation	parole/invocation	8	CURSE	verb
concepts-1944	1944	announce, proclaim	proclamer, annoncer	announce	annoncer, proclamer	talk/inform/discuss	parole/renseigner/discuter	9	ANNOUNCE	verb
concepts-4125	4125	firewood	bois de chauffage	firewood	bois de chauffage	fire/firewood	feu/bois de chauffage	10	FIREWOOD	noun
concepts-3395	3395	darkness	obscurité, ténèbres	darkness	obscurité	light/darkness/dark	lumière/obscurité/obscur	11	DARKNESS	noun
concepts-6008	6008	mid-day (10 AM-2 PM)	milieu de la journée (10 h. à 14 h.)	mid-day	midi	time of day/mid-day	heure/midi	12	MIDDAY	noun
concepts-6010	6010	mid-day, noon	milieu de la journée, midi	mid-day	midi	time of day/mid-day	heure/midi	12	MIDDAY	noun
concepts-9694	9694	yoke wrapped in cloth around donkey's neck and tied by a rope to the two long poles of a cart	youg emballé en tissu autour du cou de l'âne, attaché par une corde aux deux perches de la charrette	yoke	youg	donkey/donkey gear	âne/matériel d'âne	14	YOKE	noun
concepts-3953	3953	eyelid	paupière	eyelid	paupière	body/eye	corps/œil	17	EYELID	noun
concepts-3708	3708	earlobe	lobe de l'oreille	earlobe	oreille	body/ear	corps/oreille	18	EARLOBE	noun
concepts-8665	8665	taste (a food, etc.)	goûter, goûter à (un aliment, etc.)	taste	goûter	taste/taste	goût/goût	21	TASTE (SOMETHING)	verb
concepts-8667	8667	taste (sth, by licking)	goûter (qch, en léchant)	taste	goûter	taste/taste	goût/goût	21	TASTE (SOMETHING)	verb
concepts-4746	4746	have the intention to, decide to (do sth)	avoir l'intention de, se décider à (faire qch)	intend, decide	intention, décider	desire/need/intend	désir/besoin/intention	22	INTEND	verb
concepts-88	88	(Muslim) pray (verb only)	(musulman) prier (verbe seulement)	pray	prier	religion/prayer	religion/prière	24	PRAY	verb
concepts-89	89	(Muslim) pray, say or perform one's prayer	(musulman) prier, faire sa prière	pray	prier	religion/prayer	religion/prière	24	PRAY	verb
concepts-4097	4097	filth, dirtiness	saleté	filth	saleté	clean/dirty/filth	propre/sale/saleté	25	DIRT	noun
concepts-3504	3504	disagreeable, difficult to get along with (person)	(personne) désagréable, difficile à vivre avec	disagreeable	désagréable, difficile	emotion/temperament/stubborn	émotion/nature/têtu	26	UNPLEASANT	adjective
concepts-6393	6393	not sweet, unpleasant (taste)	(goût) pas doux, désagréable	not sweet	pas doux	taste/sweet	goût/doux	26	UNPLEASANT	adjective
concepts-1854	1854	air (e.g. in tire)	air (dans un pneu, etc.)	air, atmosphere	air, atmosphère	weather/wind	météorologie/vent	27	AIR	noun
concepts-1855	1855	air, atmosphere (that one breathes)	air, atmosphère (qu'on respire)	air, atmosphere	air, atmosphère	weather/wind	météorologie/vent	27	AIR	noun
concepts-5850	5850	make soft and moist	rendre mou et humide	soft and moist	mou et humecté	texture/soft and moist	surface/mou et humide	28	MOISTEN	verb
concepts-6137	6137	moisten (sth) slightly (e.g. keep an animal hide in a little wet sand so it remains supple)	humecter légèrement (par ex., conserver une peau dans un peu de sable mouillé pour qu'elle s'assouplisse)	moisten	humecter	wet/dry/soak	mouillé/sec/tremper	28	MOISTEN	verb
concepts-2819	2819	castrate (animal)	castrer (animal)	castrate	castrer	livestock/castrate	bétail/castrer	29	GELD	verb
concepts-3804	3804	emasculate (male animal) by crushing its testicles	émasculer (animal mâle) en lui écrasant les testicules	emasculate	émasculer	livestock/castrate	bétail/castrer	29	GELD	verb
concepts-2910	2910	chase away, drive out	chasser, faire fuir	chase	chasser	motion/chase	mouvement/chasser	30	DISPEL	verb
concepts-3746	3746	earwax	cérumen	earwax	cérumen	body/secretion	corps/sécrétion	32	EARWAX	noun
concepts-8647	8647	tamarind seed	graine de tamarin	tamarind seed	graine de tamarin	part (plant)/seed	partie (plante)/graine	35	TAMARIND	noun
concepts-6936	6936	pubic hair (of man)	pubis (d'homme)	pubic hair	pubis	body/hair	corps/poil	36	PUBIC HAIR	noun
concepts-6937	6937	pubic hair (of woman)	pubis (de femme)	pubic hair	pubis	body/hair	corps/poil	36	PUBIC HAIR	noun
concepts-9112	9112	unhook, free (sth caught, e.g. in tree)	décrocher, libérer (qch accroché par accident dans un arbre, etc.)	unhook, free	décrocher	impede/hook	empêcher/accrocher	37	LIBERATE	verb
concepts-662	662	(legs) be spread, be separated	(jambes) s’écarter, se séparer	spread	étaler	distance/measure	distance/mesure	38	SPREAD OUT	verb
concepts-8258	8258	spread out (fingers of hand)	étendre (les doigts de la main)	spread	étaler	distance/measure	distance/mesure	38	SPREAD OUT	verb
concepts-8260	8260	spread out, separate (legs, arms)	étendre (jambes, bras)	spread	étaler	distance/measure	distance/mesure	38	SPREAD OUT	verb
concepts-1059	1059	(sb) envy (sb nearby who is eating foods one craves)	(qn) ê. jaloux de (qn à côté qui mange la nourriture qu'on désire)	envy, envious	jaloux, jalousie	emotion/temperament/frustrate	émotion/nature/contrecarrer	40	ENVY	noun
concepts-4258	4258	foul, stinking (intensifier)	puant, à mauvaise odeur (intensif)	foul, stink	puer	smell/odor	olfaction/odeur	42	STINKING	adjective
concepts-4259	4259	foul, stinking (odor)	(odeur) mauvais, puant	stink	puer	smell/odor	olfaction/odeur	42	STINKING	adjective
concepts-384	384	(e.g. host) act as guide for (a visitor)	(logeur etc.) servir de guide à (un étranger)	guide	guider	visit/host/host	visiter/loger/logeur	43	LEAD (GUIDE)	verb
concepts-9653	9653	wound, injure (sb)	blesser (qn)	wound	blesser	medicine/wound	médecine/blessure	44	INJURE	verb
concepts-3900	3900	evil, nasty, mean (person)	(personne) malfaisant, méchant	evil, nasty	malfaisant, méchant	good/bad/evil	bon/mauvais/malfaisant	45	EVIL	adjective
concepts-2810	2810	carve out a hole in wood (removing the debris, e.g. in a door frame, to fit the end of another piece of wood)	faire un gros trou dans un bois (en taillant et en enlevant les débris), par ex. pour y introduire le bout d'un autre bois dans l'encadrement d'une porte	hole	trou	hole/puncture	trou/percer	46	HOLLOW OUT	verb
concepts-5820	5820	make a hole (in wooden handle)	faire un trou (dans un manche en bois)	jab	piquer	penetrate/jab	pénétrer/piquer	46	HOLLOW OUT	verb
concepts-5620	5620	liquid excrement (diarrhoea)	excréments liquides (diarrhée)	excrement, diarrhoea	excréments, diarhée	body function/defecate	fonctionnement corporel/déféquer	47	EXCRETA	noun
concepts-8110	8110	solid excrement	eexcréments solides (constipation	excrement, shit	excréments, caca	body function/defecate	fonctionnement corporel/déféquer	47	EXCRETA	noun
