ID	LANGUAGE
ToroTeguToupereJH	Toro Tegu (Toupere, JH)
BenTeyBeniJH	Ben Tey (Beni, JH)
BankanTeyWaloJH	Bankan-Tey (Walo, JH)
NangaAndaJH	Nanga (Anda, JH)
DonnoSo	Donno So
Jamsayalphabet	Jamsay (alphabet)
JamsayDouentzaareaJH	Jamsay (Douentza area, JH)
PergeTeguPergueJH	Perge Tegu (Pergué, JH)
GourouKiriJH	Gourou (Kiri, JH)
JamsayMondoroJH	Jamsay (Mondoro, JH)
TogoKanKoporopenJHwithBT	Togo-Kan (Koporo-pen, JH with BT)
YornoSoYendoumaJH	Yorno So (Yendouma, JH)
TomoKanSegue	Tomo Kan (Segue)
TomoKanDiangassagou	Tomo Kan (Diangassagou)
