Grapheme	IPA
_→$	NULL
^_..._	NULL
a	a
a:	aː
à	à
à:	àː
à:ⁿ	ã̀ː
àà	à.à
ààⁿ	à.à ∼
àá	à.á
àáⁿ	à.á ∼
à̀:	àː
àⁿ	à ∼
á	á
á:	áː
á:ⁿ	á ∼
áà	á.à
áàⁿ	á.à ∼
áá	á.á ∼
ááⁿ	á.á ∼
áⁿ	á ∼
â	â
â:	âː
â:ⁿ	â ∼
âⁿ	â ∼
âⁿ:	âː ∼
ǎ	ǎ
ǎ:	ǎː
ǎ:ⁿ	ǎː ∼
ǎⁿ	ǎ ∼
a᷈	ǎ
a᷈:	ǎː
a᷈:ⁿ	ǎː ∼
aⁿ	a ∼
ǽ	ǽ
æ̀	æ̀
æ̂	æ̂
ǽⁿ	ǽ ∼
ǽ:ⁿ	ǽː ∼
æ̀:ⁿ	æ̀ː∼
æ̂:ⁿ	æ̂ː ∼
b	b
ɓ	ɓ
bʷ	bʷ
ɔ	ɔ
ɔ̯	ɔ
ɕ	ɕ
ɔ:	ɔː
ɔ:́	ɔ́ː
ɔ:ⁿ	ɔː ∼
ɔ̀	ɔ̀
ɔ̀:	ɔ̀ː
ɔ̀:̀	ɔ̀ː
ɔ̀:ⁿ	ɔ̀ː∼
ɔ̀:ⁿ̀	ɔ̀ː ∼
ɔ̀=ɔ̀	ɔ̀.ɔ̀
ɔ̀ɔ̀	ɔ̀.ɔ̀
ɔ̀ɔ̀ⁿ	ɔ̀.ɔ̀ ∼
ɔ̀ɔ́	ɔ̀.ɔ́
ɔ̀ɔ́ⁿ	ɔ̀.ɔ́ ∼
ɔ̀ᵃ	ɔ̀
ɔ̀ⁿ	ɔ̀ ∼
ɔ̀ⁿ̀	ɔ̀ ∼
ɔ́	ɔ́
ɔ́:	ɔ́ː
ɔ́:ⁿ	ɔ́ː ∼
ɔ́ɔ̀	ɔ́.ɔ̀
ɔ́ɔ̀ⁿ	ɔ́.ɔ̀ ∼
ɔ́ɔ́	ɔ́.ɔ́
ɔ́ɔ́ⁿ	ɔ́.ɔ́ ∼
ɔ́ⁿ	ɔ́ ∼
ɔ̂	ɔ̂
ɔ̂:	ɔ̂ː
ɔ̂:ⁿ	ɔ̂ː ∼
ɔ̂ⁿ	ɔ̂ ∼
ɔ̃	ɔ ∼
ɔ̃̀	ɔ ∼
ɔ̃́	ɔ ∼
ɔ̌	ɔ̌
ɔ̌:	ɔ̌ː
ɔ̌:ⁿ	ɔ̌ː ∼
ɔ̌ⁿ	ɔ̌ ∼
ɔ᷈	ɔ̌
ɔ᷈:	ɔ̌ː
ɔ᷈:ⁿ	ɔ̌ː ∼
ɔ᷈ⁿ	ɔ̌ ∼
ɔⁿ	ɔ ∼
d	d
ɗ	ɗ
ð	ð
dʷ	dʷ
ʤ	dʒ
j	dʒ
e	e
e:	eː
è	è
è:	èː
è:ⁿ	èː ∼
èè	è.è
èèⁿ	è.è ∼
èé	è.é
èéⁿ	è.é ∼
èⁿ	è ∼
é	é
é:	éː
é:ⁿ	éː ∼
éè	é.è
éèⁿ	é.è ∼
éé	é.é
ééⁿ	é.é ∼
éⁿ	é ∼
ê	ê
ê:	êː
ě	ě
ě:	ěː
ě:ⁿ	ěː ∼
ěⁿ	ě ∼
e᷈	ě
e᷈:	ěː
eⁿ	e ∼
ə̀	ə̀
ə́	ə́
ễ	ê ∼
È	ɛ̀
ɛ	ɛ
ɛ̀	ɛ̀
