ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	COGIDS	ALIGNMENT
17403	BenTey-8_1plsubjectpronominal-1	BenTey		(1Pl subject pronominal)	ỳ∴	ỳ	j			1	1	j
17408	JamsayDouentza-8_1plsubjectpronominal-1	JamsayDouentza		(1Pl subject pronominal)	y	y	j			1	1	j
17409	Mombo-8_1plsubjectpronominal-1	Mombo		(1Pl subject pronominal)	Ǹ	ǹ	n			1	2	n
17410	Najamba-8_1plsubjectpronominal-1	Najamba		(1Pl subject pronominal)	y	y	j			1	1	j
17411	Nanga-8_1plsubjectpronominal-1	Nanga		(1Pl subject pronominal)	ỳ∴	ỳ	j			1	1	j
17413	PergeTegu-8_1plsubjectpronominal-1	PergeTegu		(1Pl subject pronominal)	y	y	j			1	1	j
17417	TogoKan-8_1plsubjectpronominal-1	TogoKan		(1Pl subject pronominal)	ɛ́mɛ́ (optional, clauseinitial)	ɛ́mɛ́	ɛ́ m ɛ́			1	3	ɛ́ m ɛ́
17418	TommoSoTongoTongo-8_1plsubjectpronominal-1	TommoSoTongoTongo		(1Pl subject pronominal)	ú	ú	ú			1	4	ú
17420	ToroTegu-8_1plsubjectpronominal-1	ToroTegu		(1Pl subject pronominal)	í (clauseinitial)	í	í			1	5	í
17421	YandaDom-8_1plsubjectpronominal-1	YandaDom		(1Pl subject pronominal)	y	y	j			1	1	j
17376	BenTey-14_1sgindependentpronoun-1	BenTey		(1Sg independent pronoun)	í	í	í			1	12	í
17381	JamsayDouentza-14_1sgindependentpronoun-1	JamsayDouentza		(1Sg independent pronoun)	mí	mí	m í			1	13	m í
17382	Najamba-14_1sgindependentpronoun-1	Najamba		(1Sg independent pronoun)	mí	mí	m í			1	13	m í
17383	Nanga-14_1sgindependentpronoun-1	Nanga		(1Sg independent pronoun)	ǐ:ⁿ	ì.íⁿ	ì í ∼			1	14	ì í ∼
17385	PergeTegu-14_1sgindependentpronoun-1	PergeTegu		(1Sg independent pronoun)	mí	mí	m í			1	13	m í
17389	TogoKan-14_1sgindependentpronoun-1	TogoKan		(1Sg independent pronoun)	íⁿ	íⁿ	í ∼			1	15	í ∼
17390	TommoSoTongoTongo-14_1sgindependentpronoun-1	TommoSoTongoTongo		(1Sg independent pronoun)	mí	mí	m í			1	13	m í
17392	ToroTegu-14_1sgindependentpronoun-1	ToroTegu		(1Sg independent pronoun)	mí ~ m̀ᵇí	mí	m í			1	13	m í
17393	ToroTegu-14_1sgindependentpronoun-2	ToroTegu		(1Sg independent pronoun)	mí ~ m̀ᵇí	m̀ᵇí	m̀ᵇ í			1	13	m̀ᵇ í
17394	YandaDom-14_1sgindependentpronoun-1	YandaDom		(1Sg independent pronoun)	mí	mí	m í			1	13	m í
17395	YornoSo-14_1sgindependentpronoun-1	YornoSo		(1Sg independent pronoun)	mú	mú	m ú			1	13	m ú
17396	JamsayDouentza-39_3plhumanpronoun-1	JamsayDouentza		(3Pl human pronoun)	bé	bé	b é			1	24	b é
17397	PergeTegu-39_3plhumanpronoun-1	PergeTegu		(3Pl human pronoun)	bé	bé	b é			1	24	b é
17398	TogoKan-39_3plhumanpronoun-1	TogoKan		(3Pl human pronoun)	bé	bé	b é			1	24	b é
17400	ToroTegu-39_3plhumanpronoun-1	ToroTegu		(3Pl human pronoun)	bé	bé	b é			1	24	b é
17401	YornoSo-39_3plhumanpronoun-1	YornoSo		(3Pl human pronoun)	bé	bé	b é			1	24	b é
9355	BankanTey-89_muslimpraysayorperformonesprayer-1	BankanTey		(Muslim) pray, say or perform one's prayer	jíŋgárú káŋ	dʒíŋɡárú-káŋ	d ʒ í ŋ ɡ á r ú - k á ŋ			0	30	d ʒ í ŋ ɡ á r ú - k á ŋ
9356	BenTey-89_muslimpraysayorperformonesprayer-1	BenTey		(Muslim) pray, say or perform one's prayer	sálù sálá, sâl sálá	sálù-sálá	s á l ù - s á l á			0	31	s á l ù - s á l á
9357	BenTey-89_muslimpraysayorperformonesprayer-2	BenTey		(Muslim) pray, say or perform one's prayer	sálù sálá, sâl sálá	sâl-sálá	s â l - s á l á			0	31	s â l - - s á l á
9363	JamsayDouentza-89_muslimpraysayorperformonesprayer-1	JamsayDouentza		(Muslim) pray, say or perform one's prayer	sâl sálá	sâl-sálá	s â l - s á l á			0	31	s â l - - s á l á
9364	Mombo-89_muslimpraysayorperformonesprayer-1	Mombo		(Muslim) pray, say or perform one's prayer	sàndì sándé	sàndì-sánd-é	s à nd ì - s á nd - é			0	32	s à nd ì - s á nd - é
9365	Najamba-89_muslimpraysayorperformonesprayer-1	Najamba		(Muslim) pray, say or perform one's prayer	sân sán	sân-sán	s â n - s á n			0	32	s â n - - s á n - -
9366	Nanga-89_muslimpraysayorperformonesprayer-1	Nanga		(Muslim) pray, say or perform one's prayer	sándì sándí	sándì-sánd-í	s á nd ì - s á nd - í			0	32	s á nd ì - s á nd - í
9368	PergeTegu-89_muslimpraysayorperformonesprayer-1	PergeTegu		(Muslim) pray, say or perform one's prayer	sâl sálá	sâl-sálá	s â l - s á l á			0	31	s â l - - s á l á
9371	TogoKan-89_muslimpraysayorperformonesprayer-1	TogoKan		(Muslim) pray, say or perform one's prayer	sáⁿ sárⁿá	sáⁿ-sár.∼á	s á ∼ - s á r <<∼>> á			0	32	s á ∼ - - s á r <<∼>> á
9372	TommoSoTongoTongo-89_muslimpraysayorperformonesprayer-1	TommoSoTongoTongo		(Muslim) pray, say or perform one's prayer	sɛ́nú sɛ́nɛ́	sɛ́nú-sɛ́n-ɛ́	s ɛ́ n ú - s ɛ́ n - ɛ́			0	32	s ɛ́ n ú - s ɛ́ n - ɛ́
9373	ToroTegu-89_muslimpraysayorperformonesprayer-1	ToroTegu		(Muslim) pray, say or perform one's prayer	jíŋgá:rù kárⁿú\\kárⁿá	kár-.∼á	k á r - <<∼>> á			0	33	k á r - <<∼>> á
9374	ToroTegu-89_muslimpraysayorperformonesprayer-2	ToroTegu		(Muslim) pray, say or perform one's prayer	jíŋgá:rù kárⁿú\\kárⁿá	kár-.∼á	k á r - <<∼>> á			0	33	k á r - <<∼>> á
9375	YandaDom-89_muslimpraysayorperformonesprayer-1	YandaDom		(Muslim) pray, say or perform one's prayer	sán sán	sán-sán	s á n - s á n			0	32	s á n - - s á n - -
