ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
17403	BenTey-8_1plsubjectpronominal-1	BenTey		(1Pl subject pronominal)	ỳ∴	ỳ	j			1	6	A	J	2	2.J.C	2.0	j	0	1
17408	JamsayDouentza-8_1plsubjectpronominal-1	JamsayDouentza		(1Pl subject pronominal)	y	y	j			1	6	A	J	3	3.J.C	2.0	j	0	1
17409	Mombo-8_1plsubjectpronominal-1	Mombo		(1Pl subject pronominal)	Ǹ	ǹ	n			1	4	A	N	4	4.N.C	2.0	n	0	2
17410	Najamba-8_1plsubjectpronominal-1	Najamba		(1Pl subject pronominal)	y	y	j			1	6	A	J	5	5.J.C	2.0	j	0	1
17411	Nanga-8_1plsubjectpronominal-1	Nanga		(1Pl subject pronominal)	ỳ∴	ỳ	j			1	6	A	J	6	6.J.C	2.0	j	0	1
17413	PergeTegu-8_1plsubjectpronominal-1	PergeTegu		(1Pl subject pronominal)	y	y	j			1	6	A	J	7	7.J.C	2.0	j	0	1
17417	TogoKan-8_1plsubjectpronominal-1	TogoKan		(1Pl subject pronominal)	ɛ́mɛ́ (optional, clauseinitial)	ɛ́mɛ́	ɛ́ m ɛ́			1	7 4 7	XBZ	EME	8	8.E.V 8.M.C 8.E.V	1.5 1.75 0.8	ɛ́mɛ́	0	3
17418	TommoSoTongoTongo-8_1plsubjectpronominal-1	TommoSoTongoTongo		(1Pl subject pronominal)	ú	ú	ú			1	7	X	Y	9	9.Y.V	1.5	ú	0	4
17420	ToroTegu-8_1plsubjectpronominal-1	ToroTegu		(1Pl subject pronominal)	í (clauseinitial)	í	í			1	7	X	I	10	10.I.V	1.5	í	0	5
17421	YandaDom-8_1plsubjectpronominal-1	YandaDom		(1Pl subject pronominal)	y	y	j			1	6	A	J	11	11.J.C	2.0	j	0	1
17376	BenTey-14_1sgindependentpronoun-1	BenTey		(1Sg independent pronoun)	í	í	í			1	7	X	I	2	2.I.V	1.5	í	0	12
17381	JamsayDouentza-14_1sgindependentpronoun-1	JamsayDouentza		(1Sg independent pronoun)	mí	mí	m í			1	4 7	AX	MI	3	3.M.C 3.I.V	2.0 1.5	mí	0	13
17382	Najamba-14_1sgindependentpronoun-1	Najamba		(1Sg independent pronoun)	mí	mí	m í			1	4 7	AX	MI	5	5.M.C 5.I.V	2.0 1.5	mí	0	13
17383	Nanga-14_1sgindependentpronoun-1	Nanga		(1Sg independent pronoun)	ǐ:ⁿ	ì.íⁿ	ì í ∼			1	7 7 4	XYN	II9	6	6.I.V 6.I.V 6.9.c	1.5 1.3 0.8	ìí∼	0	14
17385	PergeTegu-14_1sgindependentpronoun-1	PergeTegu		(1Sg independent pronoun)	mí	mí	m í			1	4 7	AX	MI	7	7.M.C 7.I.V	2.0 1.5	mí	0	13
17389	TogoKan-14_1sgindependentpronoun-1	TogoKan		(1Sg independent pronoun)	íⁿ	íⁿ	í ∼			1	7 4	XN	I9	8	8.I.V 8.9.c	1.5 0.8	í∼	0	15
17390	TommoSoTongoTongo-14_1sgindependentpronoun-1	TommoSoTongoTongo		(1Sg independent pronoun)	mí	mí	m í			1	4 7	AX	MI	9	9.M.C 9.I.V	2.0 1.5	mí	0	13
17392	ToroTegu-14_1sgindependentpronoun-1	ToroTegu		(1Sg independent pronoun)	mí ~ m̀ᵇí	mí	m í			1	4 7	AX	MI	10	10.M.C 10.I.V	2.0 1.5	mí	0	13
