ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	POS	CONCEPTICON_GLOSS
15243	Ampari	(1Pl subject pronominal)	ǹ (perfective)	ǹ_	ǹ/n		pronoun	WE
15244	BenTey	(1Pl subject pronominal)	ỳ∴	ỳ∴	j̀/y		pronoun	WE
15245	Bunoge	(1Pl subject pronominal)	ŋ́	ŋ́	ŋ́/ŋ		pronoun	WE
15246	DogulDomBendiely	(1Pl subject pronominal)	ó	ó	ó/o		pronoun	WE
15247	DonnoSo	(1Pl subject pronominal)	ŋ, ʸŋ	ŋ	ŋ		pronoun	WE
15248	JamsayDouentza	(1Pl subject pronominal)	y	y	j		pronoun	WE
15249	Mombo	(1Pl subject pronominal)	Ǹ	Ǹ	Ǹ/n		pronoun	WE
15250	Najamba	(1Pl subject pronominal)	y	y	j		pronoun	WE
15251	Nanga	(1Pl subject pronominal)	ỳ∴	ỳ∴	j̀/y		pronoun	WE
15252	Penange	(1Pl subject pronominal)	ŋ̀ (perfective)	ŋ̀_	ŋ̀/ŋ		pronoun	WE
15253	PergeTegu	(1Pl subject pronominal)	y	y	j		pronoun	WE
15254	TebulUre	(1Pl subject pronominal)	yⁿ	yⁿ	yⁿ/ỹ		pronoun	WE
15255	Tiranige	(1Pl subject pronominal)	ní ~ nì V	ní	n í/i		pronoun	WE
15256	TogoKan	(1Pl subject pronominal)	ɛ́mɛ́ (optional, clauseinitial)	ɛ́mɛ́_	ɛ́/ɛ m ɛ́/ɛ		pronoun	WE
15257	TommoSoTongoTongo	(1Pl subject pronominal)	ú	ú	ú/u		pronoun	WE
15258	TomoKanDiangassagou	(1Pl subject pronominal)	à	à	à/a		pronoun	WE
15259	ToroTegu	(1Pl subject pronominal)	í (clauseinitial)	í_	í/i		pronoun	WE
15260	YandaDom	(1Pl subject pronominal)	y	y	j		pronoun	WE
15218	Ampari	(1Sg independent pronoun)	mi	mi	m i		pronoun	I
15219	BenTey	(1Sg independent pronoun)	í	í	í/i		pronoun	I
15220	Bunoge	(1Sg independent pronoun)	mì	mì	m ì/i		pronoun	I
15221	DogulDomBendiely	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15222	DogulDomKundialang	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15223	DonnoSo	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15224	JamsayDouentza	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15225	Najamba	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15226	Nanga	(1Sg independent pronoun)	ǐ:ⁿ	ǐ:ⁿ	ǐ:ⁿ/ĩː		pronoun	I
15227	Penange	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15228	PergeTegu	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15229	TebulUre	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15230	Tiranige	(1Sg independent pronoun)	míwⁿ, mì	míwⁿ	m í/i w̃		pronoun	I
15231	TogoKan	(1Sg independent pronoun)	íⁿ	íⁿ	íⁿ/ĩ		pronoun	I
15232	TommoSoTongoTongo	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15233	TomoKanSegue	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15234	ToroTegu	(1Sg independent pronoun)	mí ~ m̀ᵇí	mí	m í/i		pronoun	I
15235	YandaDom	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15236	YornoSo	(1Sg independent pronoun)	mú	mú	m ú/u		pronoun	I
15237	JamsayDouentza	(3Pl human pronoun)	bé	bé	b é/e		pronoun	THEY
15238	PergeTegu	(3Pl human pronoun)	bé	bé	b é/e		pronoun	THEY
15239	TogoKan	(3Pl human pronoun)	bé	bé	b é/e		pronoun	THEY
15240	TomoKanSegue	(3Pl human pronoun)	bó	bó	b ó/o		pronoun	THEY
15241	ToroTegu	(3Pl human pronoun)	bé	bé	b é/e		pronoun	THEY
15242	YornoSo	(3Pl human pronoun)	bé	bé	b é/e		pronoun	THEY
15261	DogulDomBendiely	(3Sg all-purpose subject pronominal)	ná	ná	n á/a		pronoun	HE OR SHE OR IT
15262	TommoSoTongoTongo	(3Sg all-purpose subject pronominal)	wó	wó	w ó/o		pronoun	HE OR SHE OR IT
8476	BenTey	(Muslim) pray (verb only)	sálá	sálá	s á/a l á/a		verb	PRAY
8477	DogulDomBendiely	(Muslim) pray (verb only)	sɛ̀nɛ́	sɛ̀nɛ́	s ɛ̀/ɛ n ɛ́/ɛ		verb	PRAY
8478	DogulDomKundialang	(Muslim) pray (verb only)	sɛ́nɛ̀	sɛ́nɛ̀	s ɛ́/ɛ n ɛ̀/ɛ		verb	PRAY
8479	DonnoSo	(Muslim) pray (verb only)	sɛ́nɛ̀\\sɛ́nɛ̀	sɛ́nɛ̀	s ɛ́/ɛ n ɛ̀/ɛ		verb	PRAY
8480	Gourou	(Muslim) pray (verb only)	sálá	sálá	s á/a l á/a		verb	PRAY
8481	JamsayDouentza	(Muslim) pray (verb only)	sálá	sálá	s á/a l á/a		verb	PRAY
8482	Mombo	(Muslim) pray (verb only)	sándé	sándé	s á/a ⁿd é/e		verb	PRAY
8483	Najamba	(Muslim) pray (verb only)	sán	sán	s á/a n		verb	PRAY
8484	Nanga	(Muslim) pray (verb only)	sándí	sándí	s á/a ⁿd í/i		verb	PRAY
8485	PergeTegu	(Muslim) pray (verb only)	sálá	sálá	s á/a l á/a		verb	PRAY
8486	TebulUre	(Muslim) pray (verb only)	sárⁿá (sárⁿátì)	sárⁿá_	s á/a r̃ á/a		verb	PRAY
8487	TogoKan	(Muslim) pray (verb only)	sárⁿá	sárⁿá	s á/a r̃ á/a		verb	PRAY
8488	TommoSoTongoTongo	(Muslim) pray (verb only)	sɛ́nɛ́	sɛ́nɛ́	s ɛ́/ɛ n ɛ́/ɛ		verb	PRAY
8489	YandaDom	(Muslim) pray (verb only)	sán	sán	s á/a n		verb	PRAY
8490	YornoSo	(Muslim) pray (verb only)	sɛ́rⁿɛ́\\sɛ́rⁿɛ́	sɛ́rⁿɛ́	s ɛ́/ɛ r̃ ɛ́/ɛ		verb	PRAY
8456	BankanTey	(Muslim) pray, say or perform one's prayer	jíŋgárú káŋ	jíŋgárú_káŋ	dʒ í/i ŋ ɡ á/a r ú/u + k á/a ŋ		verb	PRAY
8457	BenTey	(Muslim) pray, say or perform one's prayer	sálù sálá, sâl sálá	sálù_sálá	s á/a l ù/u + s á/a l á/a		verb	PRAY
8458	Bunoge	(Muslim) pray, say or perform one's prayer	sɛ̀nì kánì	sɛ̀nì_kánì	s ɛ̀/ɛ n ì/i + k á/a n ì/i		verb	PRAY
8459	DogulDomBendiely	(Muslim) pray, say or perform one's prayer	sɛ́ɛ̀n sɛ̀nɛ́	sɛ́ɛ̀n_sɛ̀nɛ́	s ɛ́ɛ̀/ɛː n + s ɛ̀/ɛ n ɛ́/ɛ		verb	PRAY
8460	DogulDomKundialang	(Muslim) pray, say or perform one's prayer	sɛ́nɛ̀	sɛ́nɛ̀	s ɛ́/ɛ n ɛ̀/ɛ		verb	PRAY
8461	DonnoSo	(Muslim) pray, say or perform one's prayer	sɛ́nù sɛ́nɛ̀	sɛ́nù_sɛ́nɛ̀	s ɛ́/ɛ n ù/u + s ɛ́/ɛ n ɛ̀/ɛ		verb	PRAY
8462	Gourou	(Muslim) pray, say or perform one's prayer	sálù sálá	sálù_sálá	s á/a l ù/u + s á/a l á/a		verb	PRAY
8463	JamsayDouentza	(Muslim) pray, say or perform one's prayer	sâl sálá	sâl_sálá	s â/a l + s á/a l á/a		verb	PRAY
8464	Mombo	(Muslim) pray, say or perform one's prayer	sàndì sándé	sàndì_sándé	s à/a ⁿd ì/i + s á/a ⁿd é/e		verb	PRAY
8465	Najamba	(Muslim) pray, say or perform one's prayer	sân sán	sân_sán	s â/a n + s á/a n		verb	PRAY
8466	Nanga	(Muslim) pray, say or perform one's prayer	sándì sándí	sándì_sándí	s á/a ⁿd ì/i + s á/a ⁿd í/i		verb	PRAY
8467	Penange	(Muslim) pray, say or perform one's prayer	sɛ́ndí kán	sɛ́ndí_kán	s ɛ́/ɛ ⁿd í/i + k á/a n		verb	PRAY
8468	PergeTegu	(Muslim) pray, say or perform one's prayer	sâl sálá	sâl_sálá	s â/a l + s á/a l á/a		verb	PRAY
8469	TebulUre	(Muslim) pray, say or perform one's prayer	sán sárⁿá (sárⁿátì)	sán_sárⁿá_	s á/a n + s á/a r̃ á/a		verb	PRAY
8470	Tiranige	(Muslim) pray, say or perform one's prayer	sà:ní kán(ú)	sà:ní_kán	s à:/aː n í/i + k á/a n		verb	PRAY
8471	TogoKan	(Muslim) pray, say or perform one's prayer	sáⁿ sárⁿá	sáⁿ_sárⁿá	s áⁿ/a + s á/a r̃ á/a		verb	PRAY
