code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,subsubcode #,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Donno So,Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno So (Yendouma, JH)",Tomo Kan (Segue),Tomo Kan (Diangassagou),Tommo-So (JH),"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Kundialang, JH)","Dogul Dom (Bendiely & Kundialang, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)","Mombo (Songho, KP)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,,,,,,,,,,,,,,,
animal,livestock,animal,bétail,1.0,1.0,1.0,animal,animal,1.0,,,old,,domestic animal (esp. livestock),animal domestique (surtout bétail),1.0,àrùzàká ~ àrzàgá,àrsɛ̌:-m\\àrsɛ̌:,"jáwdì-m\\jáwdì, dá:bà-m\\dá:bà",gàsɛ̀gɛ́,bɛ̀lú,"asɛgɛ,gasɛgɛ","àsɛ̀gɛ́, gàsɛ̀gɛ́",àsɛ̀gɛ́,gàrsɛ̀gɛ́,àsɛ̀gɛ́,gìrⁿí árúsɛ̀gɛ̀,àrùsɛ̀gɛ́,"dà:bá, byɛ̀ (X byɛ́)",dá:bá:,,"gìnɛ̀-ý bɛ̀lù, bɛ̀lú",,"bɛ́lɛ̀g, bɛ́lɛ̀gù","àsɛ̀gɛ́\\àsɛ̀gɛ̀-mbɔ́, gàsɛ̀gɛ́\\gàsɛ̀gɛ̀-mbɔ́",àzɛ̀gɛ̀\\-mú ~ àsɛ̀gɛ̀\\-mú,dúmɛ́-ŋgó\\dúmɛ́:,"bèl (Boui), bɛ̀lì (Ningo)","dèbù bɛ́lí, bɛ́lí",,kɔ́mbɔ̀,dá:bá,,,,,,,,,,,,,,,,
animal,livestock,animal,bétail,1.0,1.0,2.0,livestock,bétail,2.0,,,old,,(sb's) livestock (collective),"bétail (l'ensemble des animaux domestiques, de qn)",3.0,,jáwdù,jáwdì,jáwdì,,"jawdi,gasɛgɛurugo","jáwdì, gàsɛ̀gɛ̀ ùrùgó",,,,"àrùsɛ̀gɛ́, àsɛ̀gɛ́",bɛ̌l,,,,bɛ̀lú,,"bɛ́lɛ̀g, bɛ́lɛ̀gù",,jáwdì,"pó:n, dúmɔ́:",,bɛ́lí débú,,,,,,,,,,,,,,,,,,,
animal,livestock,animal,bétail,1.0,1.0,3.0,favorite,favori,3.0,,,old,,(young herder's) favorite livestock animal (kept apart from herd),"animal favori (d'un jeune berger, gardé à l'écart du troupeau)",3.0,gáfèl,gábêl,gáfêl,gábérì,,gapel,gápêl,,,,,X-dínù (after animal name),,,,"[X] dínnú, gápèl",,,,gábèl,gáfèl\\gáfèl-mbò,,járnì,,,,,,,,,,,,,,,,,,,
animal,camel,animal,chameau,1.0,2.0,1.0,camel,chameau,4.0,,,old,,camel,chameau,1.0,ɲɔ́,ɔ̀:ɲùwⁿɔ̂-m,ɔ̀:ɲɛ̂ⁿ-m\\ɔ̀:ɲɛ̂ⁿ,ɔ̀gɔ̀-ɲɔ̀ŋɔ̂,ɔ̀ŋɔ̀-yòŋó,ɔgɔɲuŋo,ɔ̀ɣɔ̀-ɲùŋó,ɔ̀gɔ̀-ɲùwⁿó,ɔ̀ɣɔ̀-yⁿùwⁿó,,ɔ̀gɔ̀-ɲɔ̌,ɔ̀gɔ̀-yɔ̌:ⁿ,ɲɔ̀ʔɔ̀mɛ́,ɲɔ̀ŋɛ̀mɛ́,xxx,ɲòŋóm,yɔ́ŋmɛ̀,yɔ́ŋùmɛ̀,ɔ̀gɔ̀ɲɔ̀ŋɔ́\\ɔ̀gɔ̀ɲɔ̀ŋɔ̀-mbɔ́,ɔ̀gɔ̀-ɲɔ̀ŋɔ̀\\-mú,ɲ̀ɔ̀ŋɔ̀mɛ́\\ɲɔ̀ŋɔ̌:-mbó,njèlèbà,ɲɔ̀ŋɔ̀mɛ́,,ɲɔ́ŋɔ́mɛ̀,ɲɔ́:mɔ̀yⁿ,,,,,,,,,,,,,,,,
animal,cat,animal,chat,1.0,3.0,1.0,cat,chat,5.0,,,old,,cat,chat,1.0,nìwⁿá,nì-nìwⁿɛ̌-m\\nì-nìwⁿɛ́,nùmǎ-m\\nùmá,dòndíyê,gámmà,niniwⁿe,nì-nìwⁿé,nì-nìwⁿé,nìnìwⁿé,,dònó,gámà,dóndó,dòndò,xxx,gámmá,gâ:ŋ (gâ:ŋ yà:),gáàŋ,bàlmá\\bàlmà-mbɔ́,gà:ⁿ\\-mù,gáŋà\\gáŋà-mbò,gà:nà,gà:wⁿě,,ɲá:lì,gà:ⁿ,,,,,,,,,,,,,,,,
animal,cattle,animal,bovin,1.0,4.0,1.0,"cow, bull","vache, bœuf",6.0,,,old,,"cow, bull (any bovine)",bovin (vache ou taureau),1.0,nàŋá,nǎ:-m\\nǎ:,nǎ:-m\\nǎ:,nàŋá,nàŋá,naŋa,nàŋá,nàŋá,nàŋá,,nàŋá,nǎ:,nàʔⁿà,nàŋà,,nàá,nǎ:g (nà:gú),nààgú,nǎ:\\nà:-mbɔ́,nà:\\-mù,nɛ̌:\\nàwó:,ná:\\ná:-gè,nâ:,,ná (nâ: nɔ̀),nà:,,,,,,,,,,,,,,,,
animal,cattle,animal,bovin,1.0,4.0,2.0,calf,veau,7.0,,,old,,calf,veau,2.0,nàŋà-[ìrⁿ-í:],nà: yǐ-m,nà:-yî-m\\nà:-yî:,nàŋà yî:,nàŋà-î:,naŋiⁿ,nàŋ-î:ⁿ,nàŋ-î:ⁿ,,,nàŋ-í:ⁿ,nà:-î:,nàʔⁿà-dòmbéⁿ,nàŋà-dòmbè,,"nàà íí, ɔ̀líí nàà",,nààgù égù,nà: ɛ̀dɛ́,nǎ-yyè\\-mù,nà:mbî:\\nà:mbû:,,nà: wé:,,ná:-bè,nà: wê:,,,,,,,,,,,,,,,,
animal,cattle,animal,bovin,1.0,4.0,3.0,cow,vache,8.0,,,old,,cow (female),vache,2.0,nàŋà-yá,nà: yǎ-m,,nàŋà yǎ:,,naŋana,nàŋà-ná:,,,,nàŋà ná:,nà: yǎ:,,,,nàà yàá,,,,nà: yɛ̀\\-mù,nɛ̀: yɛ̌:\\nàwò: yàwó:,,ná: yɔ̀:,,,,,,,,,,,,,,,,,,,
animal,cattle,animal,bovin,1.0,4.0,4.0,cow,vache,9.0,,,old,,cow that has calved at least once,vache qui a mis bas au moins une fois,3.0,nàŋà-yà-ná:,nà: ná:-m,"nà:-yǎ-m\\nà:-yǎ:, há:ŋɛ̀-m\\há:ŋɛ̀",nàŋà dé:,,,,,,,,xxx,,,,nàà náláá-dɛ̀,,,,nà:-nì:\\-mú,,,nà: gùlá,,,,,,,,,,,,,,,,,,,
animal,cattle,animal,bovin,1.0,4.0,5.0,cow,vache,10.0,,,old,,cow (with a calf),vache (avec un veau),3.0,,nà: yàyô-m,,nàŋà yî: dè:,,naŋana,nàŋà-ná:,,,,,nà:-î: nà:,,,,nàà íí nàà,,,,,nɛ̀: yá-yè\\nàwò: yá-y-mbò,,,,,,,,,,,,,,,,,,,,,
