VARID,DOCULECT,GLOSS,VALUE_ORG,SINGULAR,PLURAL,FORM,CONCEPT,POS,BEFORE_PARSE,PARSED
0.0,BankanTey,domestic animal (esp. livestock),"jáwdì-m\\jáwdì, dá:bà-m\\dá:bà",jáwdì-m,jáwdì,,LIVESTOCK,noun,jáwdì-m,jáw-dì-m
1.0,BankanTey,domestic animal (esp. livestock),"jáwdì-m\\jáwdì, dá:bà-m\\dá:bà",dá:bà-m,dá:bà,,LIVESTOCK,noun,dá:bà-m,dáábà-m
0.0,BenTey,domestic animal (esp. livestock),àrsɛ̌:-m\\àrsɛ̌:,àrsɛ̌:-m,àrsɛ̌:,,LIVESTOCK,noun,àrsɛ̌:-m,àrsɛ̌ɛ̌-m
0.0,Bunoge,domestic animal (esp. livestock),kɔ́mbɔ̀,kɔ́mbɔ̀,kɔmbɔ=gè,,LIVESTOCK,noun,kɔ́mbɔ̀,kɔ́-mbɔ̀
0.0,DogulDomBendiely,domestic animal (esp. livestock),"bɛ́lɛ̀g, bɛ́lɛ̀gù",bɛ́lɛ̀-g,bɛlɛ-g-yà,,LIVESTOCK,noun,bɛ́lɛ̀-g,bɛ́lɛ̀-g
1.0,DogulDomBendiely,domestic animal (esp. livestock),"bɛ́lɛ̀g, bɛ́lɛ̀gù",bɛ́lɛ̀-gù,bɛlɛ-gi-yà,,LIVESTOCK,noun,bɛ́lɛ̀-gù,bɛ́lɛ̀-gù
0.0,DonnoSo,domestic animal (esp. livestock),bɛ̀lú,bɛ̀lú,bɛ̀lú,,LIVESTOCK,noun,bɛ̀lú,bɛ̀lú
1.0,DonnoSo,domestic animal (esp. livestock),bɛ̀lú,bɛ̀lú,bɛ̀lú=mbè,,LIVESTOCK,noun,bɛ̀lú,bɛ̀lú
0.0,JamsayGourou,domestic animal (esp. livestock),gàrsɛ̀gɛ́,gàr sɛ̀gɛ́,gàr sɛ̀gɛ́,,LIVESTOCK,noun,gàr sɛ̀gɛ́,gàr-sɛ̀-gɛ́
0.0,JamsayDouentza,domestic animal (esp. livestock),"àsɛ̀gɛ́, gàsɛ̀gɛ́",à sɛ̀gɛ́,à sɛ̀gɛ́=bé,,LIVESTOCK,noun,à sɛ̀gɛ́,àsɛ̀-gɛ́
1.0,JamsayDouentza,domestic animal (esp. livestock),"àsɛ̀gɛ́, gàsɛ̀gɛ́",gà sɛ̀gɛ́,gà sɛ̀gɛ́=bé,,LIVESTOCK,noun,gà sɛ̀gɛ́,gàsɛ̀-gɛ́
0.0,JamsayMondoro,domestic animal (esp. livestock),àsɛ̀gɛ́,à sɛ̀gɛ,à sɛ̀gɛ́,,LIVESTOCK,noun,à sɛ̀gɛ,àsɛ̀-gɛ
0.0,Mombo,domestic animal (esp. livestock),"dèbù bɛ́lí, bɛ́lí",dèbù bɛ́lí,,,LIVESTOCK,noun,dèbù bɛ́lí,dèbù-bɛ́lí
1.0,Mombo,domestic animal (esp. livestock),"dèbù bɛ́lí, bɛ́lí",bɛ́lí,,,LIVESTOCK,noun,bɛ́lí,bɛ́lí
0.0,BonduSoNajamba,domestic animal (esp. livestock),dúmɛ́-ŋgó\\dúmɛ́:,dúmɛ́-ŋgó,dúmɛ́:,,LIVESTOCK,noun,dúmɛ́-ŋgó,dúmɛ́-ŋgó
1.0,BonduSoKindige,domestic animal (esp. livestock),dúmɛ́-ŋgó\\dúmɛ́:,dùmɔ́:-n,dúmɛ̀:,,LIVESTOCK,noun,dùmɔ́:-n,dùmɔ́ɔ́-n
0.0,Nanga,domestic animal (esp. livestock),gàsɛ̀gɛ́,gà sɛ̀gɛ́,gà sɛ̀gɛ́,,LIVESTOCK,noun,gà sɛ̀gɛ́,gàsɛ̀-gɛ́
0.0,Penange,domestic animal (esp. livestock),dá:bá,dá:bá,da:ba=gé,,LIVESTOCK,noun,dá:bá,dáábá
0.0,PergeTegu,domestic animal (esp. livestock),àsɛ̀gɛ́,à sɛ̀gɛ́,,,LIVESTOCK,noun,à sɛ̀gɛ́,àsɛ̀-gɛ́
0.0,TebulUre,domestic animal (esp. livestock),"àsɛ̀gɛ́\\àsɛ̀gɛ̀-mbɔ́, gàsɛ̀gɛ́\\gàsɛ̀gɛ̀-mbɔ́",à sɛ̀gɛ́,à sɛ̀gɛ̀-mbɔ́,,LIVESTOCK,noun,à sɛ̀gɛ́,àsɛ̀-gɛ́
